ADXL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Value,Min Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.14,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Num,ADXL Vector,Filtered ADXL Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1.14,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1.09,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1.14,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1.11,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1.09,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0.94,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1.11,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1.09,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,1.13,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,0.79,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,0.82,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1.33,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1.19,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0.78,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,0.85,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1.17,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1.39,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,0.79,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,0.94,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1.25,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,0.87,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1.11,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,0.85,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,0.84,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1.08,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,1.25,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1.11,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1.18,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
